"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Tsu Src"	"Earthquake Magnitude"	"Vol"	"More Info"	"Doubtful Runup"	"Country"	"Area"	"Location Name"	"Latitude"	"Longitude"	"Distance From Source (km)"	"Initial Wave Arrival Day"	"Initial Wave Arrival Hour"	"Initial Wave Arrival Minute"	"Travel Hours"	"Travel Minutes"	"Max Wave Arrival Day"	"Max Wave Arrival Hour"	"Max Wave Arrival Minute"	"Maximum Water Height (m)"	"Max Inundation Distance (m)"	"Measurement Type"	"Period"	"First Motion"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage $Mil"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"
"[]"																																												
	-2000						1	1	1				"n"	"SYRIA"		"UGARIT"	35.583	35.75	11.984											1				3						4				
	-1610						4	6	3		1351		"n"	"GREECE"		"N. AND E. COAST CRETE"	35.5	25	106.183											1				3						3				
	-1610						4	6	3		1351		"n"	"SYRIA"		"UGARIT"	35.583	35.75	937.229											1				3						3				
	-479						2	1	9	7			"n"	"GREECE"		"POTIDAEA, MACEDONIA"	40.3	23.33	66.67											1				3										
	-426	6					4	1	10	7.1			"n"	"GREECE"		"ATALANTI ISLAND"	38.675	23.096	42.517											1										1				
	-426	6					4	1	10	7.1			"n"	"GREECE"		"ECHINOS, MALIAKOS GULF"	38.88	22.72	2.818											1														
	-426	6					4	1	10	7.1			"n"	"GREECE"		"SKOPELOS"	39.12	23.72	91.66											1														
	-426	6					4	1	10	7.1			"n"	"GREECE"		"OROBIES"	38.817	23.233	47.172										5000	1				3						3		3		
	-426	6					4	1	10	7.1			"n"	"GREECE"		"CENEUM"	40.173	22.487	142.517											1														
	-426	6					4	1	10	7.1			"n"	"GREECE"		"TARPHE, MALIAKOS GULF (TARFI)"														1										1				
	-426	6					4	1	10	7.1			"n"	"GREECE"		"OPOUS"	38.633	23.0833	44.59										800	1														
	-426	6					4	1	10	7.1			"n"	"GREECE"		"THERMOPLYLES"	38.8	22.55	17.111											1										1				
	-426	6					4	1	10	7.1			"n"	"GREECE"		"SKARPHIA, MALIAKOS GULF"	38.837	22.69	7.047											1														
	-426	6					4	1	10	7.1			"n"	"GREECE"		"THRONIUM"	38.817	22.733	9.649											1										3		3		
	-426	6					4	1	10	7.1			"n"	"GREECE"		"LICHADES ISLAND"	38.815	22.816	13.799											1														
	-426	6					4	1	10	7.1			"n"	"GREECE"		"DAPHNUS"	38.747	22.867	22.334											1														
	-373						4	3	11	7.3			"n"	"GREECE"		"HELICE, PELOPONNESUS"	38.21	22.13	11.407											1				3						3		3		
	-227						2	1	3092	7.2			"n"	"GREECE"		"ISLAND OF RHODES"	36.167	28	30.743											1										1				
	-216						2	1	5382				"n"	"SPAIN"		"CADIZ"	36.533	-6.3	86.38											1														
	-210						1	1	4281				"n"	"SPAIN"		"CADIZ"	36.533	-6.3	381.983											1														
	-138						2	0	15				"n"	"LEBANON"		"SUR [TYRE]"	33.2733	35.1939												1														
	-138						2	0	15				"n"	"ISRAEL"		"AKKO (ACRE)"	32.924	35.073												1				3										
	-138						2	0	15				"n"	"LEBANON"		"SIDON"	33.5631	35.3689												1				3										
	-58						2	1	3714	6.6			"n"	"ALBANIA"		"DURAZZO"	41.323	19.441	5.562											1														
	-23						3	0	19				"n"	"EGYPT"		"PELUSIUM"	31.133	32.667												1														
	-23						3	0	19				"n"	"EGYPT"		"ALEXANDRIA"	31.2	29.919												1														
	62						2	1	23	6.9			"n"	"GREECE"		"LEBENA"	34.931	24.929	33.674											1														
	115	12	13				2	1	4396	7.5			"n"	"ISRAEL"		"CAESAREA"	32.483	34.883	416.565											1														
	123						0	1	3583	6.3			"n"	"SOUTH KOREA"		"KYONGJU"	35.8428	129.2117	4.865											1														
	142						3	1	27	7			"n"	"GREECE"		"ISLAND OF SYMI"	36.58	27.83	20.21											1										2		2		
	142						3	1	27	7			"n"	"GREECE"		"ISLAND OF KOS"	36.8933	27.2889	66.991											1										2		2		
	142						3	1	27	7			"n"	"GREECE"		"ISLAND OF SERIFOS"	37.15	24.5	315.8											1										2		2		
	142						3	1	27	7			"n"	"GREECE"		"ISLAND OF RHODES"	36.167	28	59.145											1										2		2		
	173	6	28				2	1	29				"n"	"CHINA"		"YEHSIAN, SHANDONG"	37.1717	119.9214	37.096											1														
	173	6	28				2	1	29				"n"	"CHINA"		"CHANYI, SHANDONG"	36.8536	119.3908	89.85											1														
	173	6	28				2	1	29				"n"	"CHINA"		"HUANGXIAN, SHANDONG"	37.6481	120.5261	49.296											1														
	258						0	1	3427				"n"	"ITALY"		"ROME"	41.9	12.45	0											7														
	342						-1	1	34				"n"	"GREECE"		"THRACE"	41.3	19.5												1														
	346						1	1	3474	6.8			"n"	"ALBANIA"		"DURRES (DYRRACHIUM)"	41.3231	19.4414	9.216											1										1		1		
	348						1	1	36	4.1			"n"	"LEBANON"		"BEIRUT"	33.53	35.3	45.032											1														
	348						1	1	36	4.1			"n"	"SYRIA"		"SYRIAN COAST"														1														
	348						1	1	36	4.1			"n"	"SYRIA"		"ARWAD ISLAND"	34.85	35.85	110.19											1														
	358	8	24				1	1	2314				"y"	"TURKEY"		"IZMIT (NICOMEDEA)"	40.77	29.94	3.377											1														
	365	7	21				4	1	38	8			"n"	"PORTUGAL"		"CAPE SOUTH VICENTE"	37.025	-8.9944	2879.46											1														
	365	7	21				4	1	38	8			"n"	"ITALY"	"SICILY"	"ISLAND OF SICILY"	38.18	15.56	753.176											1														
	365	7	21				4	1	38	8			"n"	"GREECE"		"KNOSSOS, CRETE"	35.3	25.167	200.241											1			5000	4						2				
	365	7	21				4	1	38	8			"n"	"GREECE"		"GORTIS, CRETE"	35.325	25.1306	197.429											1														
	365	7	21				4	1	38	8			"n"	"CROATIA"		"EPIDAURUS"	42.5811	18.2181	938.137											1														
	365	7	21				4	1	38	8			"y"	"TURKEY"		"ALEXANDRIA TROAS"	40.154	26.407	646.235											1			700	3										
	365	7	21				4	1	38	8			"n"	"GREECE"		"METHONI, PELOPONNESUS"	36.818	21.703	233.227											1										1				
