decimals,viete,madhava
0,0.0002124309539794922,0.0001232624053955078
0,3.409385681152344e-05,8.606910705566406e-05
0,3.266334533691406e-05,8.559226989746094e-05
0,2.86102294921875e-05,8.082389831542969e-05
0,3.0040740966796875e-05,8.0108642578125e-05
0,2.9325485229492188e-05,7.987022399902344e-05
0,2.956390380859375e-05,7.796287536621094e-05
0,2.9087066650390625e-05,7.915496826171875e-05
0,2.8848648071289062e-05,8.058547973632812e-05
0,2.1457672119140625e-05,4.6253204345703125e-05
0,1.5974044799804688e-05,4.363059997558594e-05
0,1.5735626220703125e-05,4.267692565917969e-05
0,1.5735626220703125e-05,4.2438507080078125e-05
0,1.5497207641601562e-05,4.291534423828125e-05
0,1.5735626220703125e-05,4.124641418457031e-05
0,1.5497207641601562e-05,4.1484832763671875e-05
0,1.5020370483398438e-05,4.220008850097656e-05
0,2.5987625122070312e-05,4.363059997558594e-05
0,1.5497207641601562e-05,4.1484832763671875e-05
0,1.52587890625e-05,4.1484832763671875e-05
0,1.5497207641601562e-05,4.1961669921875e-05
0,1.52587890625e-05,4.1961669921875e-05
0,1.5497207641601562e-05,4.172325134277344e-05
0,1.5497207641601562e-05,4.124641418457031e-05
0,1.5735626220703125e-05,6.604194641113281e-05
0,2.765655517578125e-05,7.081031799316406e-05
0,2.765655517578125e-05,7.62939453125e-05
0,2.6941299438476562e-05,4.6253204345703125e-05
0,1.621246337890625e-05,4.363059997558594e-05
0,1.52587890625e-05,4.2438507080078125e-05
0,1.5735626220703125e-05,4.172325134277344e-05
0,1.5497207641601562e-05,4.1961669921875e-05
0,1.5497207641601562e-05,4.100799560546875e-05
0,1.52587890625e-05,4.0531158447265625e-05
0,1.5497207641601562e-05,4.0531158447265625e-05
0,2.9325485229492188e-05,4.363059997558594e-05
0,1.5497207641601562e-05,4.172325134277344e-05
0,1.52587890625e-05,4.124641418457031e-05
0,1.5020370483398438e-05,4.076957702636719e-05
0,1.5974044799804688e-05,4.2438507080078125e-05
0,1.5735626220703125e-05,4.124641418457031e-05
0,1.52587890625e-05,4.100799560546875e-05
0,1.52587890625e-05,4.124641418457031e-05
0,1.5020370483398438e-05,4.0531158447265625e-05
0,1.5020370483398438e-05,4.076957702636719e-05
0,1.4781951904296875e-05,4.0531158447265625e-05
0,1.52587890625e-05,3.981590270996094e-05
0,1.4781951904296875e-05,4.100799560546875e-05
0,1.52587890625e-05,4.0531158447265625e-05
0,1.5497207641601562e-05,4.076957702636719e-05
0,1.5020370483398438e-05,4.0531158447265625e-05
0,1.4543533325195312e-05,4.0531158447265625e-05
0,1.5020370483398438e-05,4.076957702636719e-05
0,1.4781951904296875e-05,4.029273986816406e-05
0,1.4543533325195312e-05,4.076957702636719e-05
0,1.5020370483398438e-05,4.029273986816406e-05
0,1.5020370483398438e-05,4.100799560546875e-05
0,1.5020370483398438e-05,4.100799560546875e-05
0,1.52587890625e-05,4.0531158447265625e-05
0,1.5497207641601562e-05,4.029273986816406e-05
0,1.4781951904296875e-05,4.100799560546875e-05
0,1.4543533325195312e-05,4.0531158447265625e-05
0,1.5020370483398438e-05,4.00543212890625e-05
0,1.52587890625e-05,4.029273986816406e-05
0,1.5020370483398438e-05,4.100799560546875e-05
0,1.52587890625e-05,4.076957702636719e-05
0,1.52587890625e-05,4.029273986816406e-05
0,2.4557113647460938e-05,5.602836608886719e-05
0,1.5497207641601562e-05,4.076957702636719e-05
0,1.5497207641601562e-05,4.029273986816406e-05
0,1.5497207641601562e-05,4.076957702636719e-05
0,1.52587890625e-05,4.076957702636719e-05
0,1.5020370483398438e-05,4.124641418457031e-05
0,1.5020370483398438e-05,4.100799560546875e-05
0,1.4781951904296875e-05,4.100799560546875e-05
0,1.52587890625e-05,4.076957702636719e-05
0,1.5020370483398438e-05,4.100799560546875e-05
0,1.5020370483398438e-05,4.076957702636719e-05
0,1.52587890625e-05,4.0531158447265625e-05
0,1.52587890625e-05,4.076957702636719e-05
0,1.5020370483398438e-05,4.076957702636719e-05
0,1.4781951904296875e-05,4.0531158447265625e-05
0,1.52587890625e-05,4.100799560546875e-05
0,1.4781951904296875e-05,4.100799560546875e-05
0,1.5020370483398438e-05,4.100799560546875e-05
0,1.4781951904296875e-05,5.626678466796875e-05
0,1.4066696166992188e-05,3.814697265625e-05
0,1.4543533325195312e-05,3.790855407714844e-05
0,1.4066696166992188e-05,3.814697265625e-05
0,1.4066696166992188e-05,3.838539123535156e-05
0,1.430511474609375e-05,3.814697265625e-05
0,1.4066696166992188e-05,3.838539123535156e-05
0,1.4781951904296875e-05,3.8623809814453125e-05
0,1.4781951904296875e-05,3.886222839355469e-05
0,1.430511474609375e-05,3.8623809814453125e-05
